//Racine 	Origine 	Sens 	Exemples de mots comportant la racine

-èdre	ἕδρα	base 	tétraèdre, icosaèdre, polyèdre
électr-	ἤλεκτρον	ambre, électricité 	électricité, électron, électrophorèse
embry(o)-	ἔμβρυον	fœtus 	embryon, embryologie, embryogenèse
ennéa-	ἐννέα	neuf (chiffre) 	ennéagone, ennéasyllabe, ennéagramme
-entér(o)-	ἔντερα	entrailles 	gastroentérite, entérocoque, entérovirus
-entom(o)-	ἔντομον	insecte 	entomologie, entomofaune, entomophagie
éol-	Αἴολος	eole (dieu des vents) 	éolien, éolienne
épi-	ἐπί	au-dessus, à la surface de 	épiderme, épiphénomène, épitaphe
épistémé	ἐπιστήμη	science, connaissance 	épistémologie, épistémique
éro-	Ἔρως	eros (dieu de l'amour) 	érotisme, érotomanie
éryth(r)-	ἐρυθρός	rouge 	érythème, érythrée, érythrocyte
-esthé(sie)-	αἴσθησις	sensation 	esthétique, anesthésie, synesthésie
ethn(o)-	ἔθνος	peuple 	ethnie, ethnologie, ethnographie, ethnocentrisme
éth(o)-	ἦθος	manière d'être, mœurs 	éthique, éthologie
eu-, ev-	εὖ	bien, beau 	euphorie, eucharistie, eugénisme, euphémisme, évangile
eudémon-	εὐδαιμονία	bonheur 	eudémonisme, eudémonologie
etymos-	ἔτυμος	le sens d’un mot 	etymologie
galact/x-	γάλα, -ακτός	lait 	galactose, galaxie, galactite
-gam-	γάμος	mariage 	polygamie, monogamie, gamète, phanérogame
gast(é)ro-	γαστήρ, -τρος	ventre, estomac 	gastronomie, gastéropode, gastroentérite
-gène, -gén-	γεννάω	engendrer 	oxygène, pathogène, lacrymogène, hallucinogène, eugénisme
-genèse, -génie	γένεσις	formation 	genèse, parthénogenèse, orogenèse, ontogénie
géno-	γένος	race 	génocide, génome, génogramme
-gé(o)-	γῆ	terre 	géologie, géographie, géométrie, gaïa, pangée
giga-	γίγας	géant 	gigantomachie, gigaoctet, gigahertz
-glott, -gloss-	γλῶττα, γλῶσσα	langue 	polyglotte, isoglosse, glossaire, glossolalie
-glyc-	γλυκύς	doux, sucré 	glycérine, glucide, glucose, glycol, hypoglycémie, glycine
-glyphe	γλύφω	graver 	hiéroglyphe, pétroglyphe, anaglyphe, glyptothèque, glyptodon
-gone	γωνία	angle 	polygone, pentagone
-gramm(e)	γράμμα	lettre 	anagramme, lipogramme, chronogramme, grammaire
-graph(o)-	γράφω	écrire 	graphisme, graphologie, monographie, échographie
-gymn(o)-	γυμνός	nu 	gymnopédie, gymnastique, gymnase, gymnote
-gyn-	γυνή	femme 	gynécologie, androgyne, gynécée
-gyr(o)-	γῦρος	cercle 	gyroscope, gyrophare, gyromagnétisme, dextrogyre
hapl(o)-	ἁπλοῦς	simple 	haplotype, haplogroupe, haploïde, haplologie
hecto-	ἑκατόν	cent 	hectare, hectomètre, hectogramme, hectolitre, hectopascal
-hélic-	ἕλιξ	spirale 	hélice, hélicon, hélicoptère, hélicoïde
-héli(o)-	ἥλιος	soleil 	héliocentrique, héliothérapie, héliotrope, parhélie
hém(at)-	αἷμα, -ατος	sang 	hématologie, hémophile, hématome
-hémère	ἡμέρα	jour 	éphémère, éphéméride, nycthémère
hémi-	ἥμισυς	demi 	hémisphère, hémiplégie, hémistiche, hémiptère
hépat(o)-	ἧπαρ, -ατος	foie 	hépatologie, hépatite, hépatique
hepta-	ἑπτά	sept 	heptagone, heptasyllabe, heptacorde
herm-	Ἑρμῆς	hermès (dieu) 	hermaphrodite, hermétisme, herméneutique
herp-	ἕρπω	ramper, glisser 	herpétologie, herpès
hétéro-	ἕτερος	autre 	hétéroclite, hétérogène, hétérosexuel
hexa-	ἕξ	six 	hexaèdre, hexamètre, hexagone, hexapode
hiéro-	ἱερός	sacré 	hiéroglyphe, hiérarchie, hiérophante
hipp(o)-	ἵππος	cheval 	hippodrome, hippopotame, hippisme, philippe
hist(o)-	ἱστός	tissu 	histologie, histogenèse, histamine, histogramme
(h)olo-	ὅλος	entier 	hologramme, holocène, holocauste, holonymie, olographe
homo-	ὅμοιος	même, semblable 	homothétie, homologue, homogène, homosexualité, homonymie
